Ссылка,Цена,Количество комнат,Тип дома,Год постройки,Этаж,Этажность,"Площадь, м2",Балкон,Санузел,Потолки,Квартира мебелирована,Состояние квартиры,Район
https://krisha.kz//a/show/692312456,32300000.0,2.0,,2020.0,1.0,20.0,60.0,,,,,, Есильский р-н
https://krisha.kz//a/show/692564996,13750000.0,1.0,кирпичный,2020.0,9.0,10.0,38.0,,,,,хорошее, Алматы р-н
https://krisha.kz//a/show/691344565,52999999.0,4.0,монолитный,2006.0,5.0,10.0,145.0,балкон и лоджия,2 с/у и более,3.0,,, Есильский р-н
https://krisha.kz//a/show/692568765,78000000.0,4.0,монолитный,2016.0,1.0,34.0,127.4,,,2.7,,, Алматы р-н
https://krisha.kz//a/show/692570601,32500000.0,2.0,монолитный,2023.0,4.0,17.0,47.4,,совмещенный,3.0,,, Есильский р-н
https://krisha.kz//a/show/691722489,250000000.0,4.0,монолитный,2019.0,3.0,4.0,202.8,,,3.3,,хорошее, Есильский р-н
https://krisha.kz//a/show/689193281,53265390.0,3.0,монолитный,2025.0,,,101.27,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/689194025,22554290.0,2.0,монолитный,2024.0,,,59.51,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688570018,23578440.0,1.0,монолитный,2024.0,,,41.88,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688393749,60085800.0,3.0,монолитный,2024.0,,,111.27,,2 с/у и более,,,, Есильский р-н
https://krisha.kz//a/show/688329366,22186140.0,2.0,монолитный,2024.0,,,56.31,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688329609,78641280.0,4.0,монолитный,2024.0,,,132.84,,2 с/у и более,,,, Нура р-н
https://krisha.kz//a/show/688329503,21667980.0,1.0,монолитный,2024.0,,,43.51,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688475679,17639360.0,1.0,монолитный,2024.0,,,31.84,,совмещенный,,,, Нура р-н
https://krisha.kz//a/show/688329726,25759300.0,2.0,монолитный,2024.0,,,52.57,,совмещенный,,,, Нура р-н
